Grady - fill and shuffle,(10, 10),0.1,0.00136,0.00062,0.00225
Grady - min col or row,(10, 10),0.1,0.00078,0.00066,0.00050
Grady - max col or row,(10, 10),0.1,0.00073,0.00070,0.00015
Grady - all zeros,(10, 10),0.1,0.00053,0.00052,0.00013
Grady - all ones,(10, 10),0.1,0.00067,0.00064,0.00018
Grady - total fill percentage,(10, 10),0.1,0.00070,0.00069,0.00014
Swap,(10, 10),0.1,0.00074,0.00048,0.00072
Trial Swap,(10, 10),0.1,0.01126,0.01148,0.00354
Curveball,(10, 10),0.1,0.00042,0.00041,0.00004
Cupy,(10, 10),0.1,0.08777,0.00073,0.26118
Grady - fill and shuffle,(10, 10),0.2,0.00077,0.00079,0.00011
Grady - min col or row,(10, 10),0.2,0.00071,0.00071,0.00008
Grady - max col or row,(10, 10),0.2,0.00076,0.00075,0.00008
Grady - all zeros,(10, 10),0.2,0.00061,0.00061,0.00010
Grady - all ones,(10, 10),0.2,0.00063,0.00063,0.00008
Grady - total fill percentage,(10, 10),0.2,0.00082,0.00083,0.00014
Swap,(10, 10),0.2,0.00052,0.00053,0.00019
Trial Swap,(10, 10),0.2,0.00591,0.00526,0.00176
Curveball,(10, 10),0.2,0.00051,0.00051,0.00006
Cupy,(10, 10),0.2,0.00084,0.00085,0.00008
Grady - fill and shuffle,(10, 10),0.3,0.00073,0.00069,0.00009
Grady - min col or row,(10, 10),0.3,0.00083,0.00081,0.00012
Grady - max col or row,(10, 10),0.3,0.00081,0.00077,0.00019
Grady - all zeros,(10, 10),0.3,0.00074,0.00073,0.00011
Grady - all ones,(10, 10),0.3,0.00072,0.00071,0.00007
Grady - total fill percentage,(10, 10),0.3,0.00085,0.00086,0.00014
Swap,(10, 10),0.3,0.00056,0.00053,0.00011
Trial Swap,(10, 10),0.3,0.00385,0.00371,0.00044
Curveball,(10, 10),0.3,0.00055,0.00056,0.00002
Cupy,(10, 10),0.3,0.00092,0.00095,0.00010
Grady - fill and shuffle,(10, 10),0.4,0.00083,0.00083,0.00011
Grady - min col or row,(10, 10),0.4,0.00086,0.00084,0.00009
Grady - max col or row,(10, 10),0.4,0.00089,0.00094,0.00011
Grady - all zeros,(10, 10),0.4,0.00079,0.00075,0.00009
Grady - all ones,(10, 10),0.4,0.00079,0.00079,0.00009
Grady - total fill percentage,(10, 10),0.4,0.00094,0.00092,0.00009
Swap,(10, 10),0.4,0.00057,0.00055,0.00015
Trial Swap,(10, 10),0.4,0.00304,0.00300,0.00044
Curveball,(10, 10),0.4,0.00058,0.00059,0.00004
Cupy,(10, 10),0.4,0.00093,0.00092,0.00008
Grady - fill and shuffle,(10, 10),0.5,0.00082,0.00083,0.00012
Grady - min col or row,(10, 10),0.5,0.00086,0.00086,0.00011
Grady - max col or row,(10, 10),0.5,0.00087,0.00083,0.00016
Grady - all zeros,(10, 10),0.5,0.00081,0.00081,0.00008
Grady - all ones,(10, 10),0.5,0.00076,0.00075,0.00013
Grady - total fill percentage,(10, 10),0.5,0.00092,0.00094,0.00008
Swap,(10, 10),0.5,0.00068,0.00065,0.00016
Trial Swap,(10, 10),0.5,0.00229,0.00224,0.00020
Curveball,(10, 10),0.5,0.00059,0.00059,0.00002
Cupy,(10, 10),0.5,0.00093,0.00094,0.00011
Grady - fill and shuffle,(10, 10),0.6,0.00081,0.00070,0.00033
Grady - min col or row,(10, 10),0.6,0.00093,0.00086,0.00030
Grady - max col or row,(10, 10),0.6,0.00077,0.00082,0.00012
Grady - all zeros,(10, 10),0.6,0.00072,0.00072,0.00006
Grady - all ones,(10, 10),0.6,0.00073,0.00076,0.00010
Grady - total fill percentage,(10, 10),0.6,0.00082,0.00080,0.00012
Swap,(10, 10),0.6,0.00058,0.00054,0.00013
Trial Swap,(10, 10),0.6,0.00197,0.00203,0.00021
Curveball,(10, 10),0.6,0.00056,0.00057,0.00003
Cupy,(10, 10),0.6,0.00084,0.00084,0.00009
Grady - fill and shuffle,(10, 10),0.7,0.00077,0.00078,0.00009
Grady - min col or row,(10, 10),0.7,0.00097,0.00090,0.00030
Grady - max col or row,(10, 10),0.7,0.00080,0.00080,0.00009
Grady - all zeros,(10, 10),0.7,0.00074,0.00076,0.00008
Grady - all ones,(10, 10),0.7,0.00069,0.00067,0.00010
Grady - total fill percentage,(10, 10),0.7,0.00087,0.00083,0.00012
Swap,(10, 10),0.7,0.00100,0.00087,0.00039
Trial Swap,(10, 10),0.7,0.00157,0.00165,0.00016
Curveball,(10, 10),0.7,0.00055,0.00056,0.00003
Cupy,(10, 10),0.7,0.00094,0.00087,0.00023
Grady - fill and shuffle,(10, 10),0.8,0.00089,0.00072,0.00037
Grady - min col or row,(10, 10),0.8,0.00085,0.00086,0.00010
Grady - max col or row,(10, 10),0.8,0.00092,0.00086,0.00031
Grady - all zeros,(10, 10),0.8,0.00079,0.00081,0.00008
Grady - all ones,(10, 10),0.8,0.00070,0.00071,0.00008
Grady - total fill percentage,(10, 10),0.8,0.00080,0.00081,0.00006
Swap,(10, 10),0.8,0.00183,0.00158,0.00079
